Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
CUST00001,61,77657,105390,735,24,No
CUST00002,64,53676,137771,550,12,Yes
CUST00003,34,57657,142087,758,84,No
CUST00004,55,37802,55708,692,120,Yes
CUST00005,31,49745,51943,581,120,No
CUST00006,26,42631,72637,702,36,No
CUST00007,50,15000,27373,601,60,Yes
CUST00008,61,28673,72277,542,84,Yes
CUST00009,63,57060,44465,715,24,No
CUST00010,45,50527,89782,762,36,No
CUST00011,63,50498,139785,837,60,No
CUST00012,55,53594,97975,603,84,No
CUST00013,35,41170,132403,509,24,No
CUST00014,41,49582,183254,667,60,No
CUST00015,41,59926,215517,742,84,No
CUST00016,37,74021,176645,752,84,No
CUST00017,58,44781,178738,683,60,No
CUST00018,24,61664,65360,615,84,No
CUST00019,25,36848,78787,721,36,No
CUST00020,21,51234,184276,614,120,Yes
CUST00021,62,46946,49460,706,12,No
CUST00022,37,85023,193588,626,12,No
CUST00023,40,66671,79751,570,36,No
CUST00024,55,93978,349103,598,60,Yes
CUST00025,22,68043,268676,699,120,Yes
CUST00026,24,56336,43697,753,84,No
CUST00027,25,76991,72384,636,84,No
CUST00028,56,66208,173669,734,24,No
CUST00029,65,59701,237790,716,84,No
CUST00030,54,42039,30440,668,12,No
CUST00031,35,53163,158290,645,12,Yes
CUST00032,23,59387,79164,626,84,No
CUST00033,55,83402,208392,788,48,No
CUST00034,51,59135,49630,601,48,No
CUST00035,47,26532,75796,677,84,Yes
CUST00036,46,50589,44642,508,24,Yes
CUST00037,49,62296,132018,689,120,No
CUST00038,49,67634,56994,503,84,No
CUST00039,21,95337,330861,615,24,Yes
CUST00040,51,59115,41689,729,48,Yes
CUST00041,45,51994,108799,789,48,No
CUST00042,56,44069,51325,571,24,No
CUST00043,58,54429,86957,622,12,No
CUST00044,53,74373,51993,602,60,Yes
CUST00045,32,61137,214980,663,48,Yes
CUST00046,57,55575,148265,757,48,No
CUST00047,57,15000,18224,623,84,Yes
CUST00048,37,33691,52221,723,36,No
CUST00049,25,80036,197727,657,12,Yes
CUST00050,34,45411,78176,648,12,No
CUST00051,44,50785,121948,734,36,No
CUST00052,62,28716,70099,629,84,Yes
CUST00053,29,51569,159784,817,24,No
CUST00054,59,59039,171582,721,120,No
CUST00055,52,54723,37091,825,84,No
CUST00056,38,70598,67624,670,36,No
CUST00057,49,36977,19740,623,12,No
CUST00058,65,73613,251836,593,60,No
CUST00059,48,65758,239782,699,120,No
CUST00060,23,64951,89201,617,12,No
CUST00061,56,68723,183650,596,24,No
CUST00062,36,87457,291905,486,48,Yes
CUST00063,42,58747,167116,569,84,No
CUST00064,38,70112,128929,755,12,No
CUST00065,35,67557,116455,820,120,No
CUST00066,35,59477,112687,766,36,No
CUST00067,38,42249,121606,727,120,No
CUST00068,22,90757,102100,791,36,Yes
CUST00069,59,28354,45306,702,60,No
CUST00070,28,37279,51875,719,84,No
CUST00071,54,74980,226290,605,84,No
CUST00072,33,50491,142629,673,36,No
CUST00073,63,71585,111037,546,36,No
CUST00074,41,42676,40350,689,48,No
CUST00075,45,37862,100497,495,36,Yes
CUST00076,21,50894,165413,702,60,No
CUST00077,50,29776,68161,693,120,No
CUST00078,31,47030,132789,595,60,Yes
CUST00079,36,49013,58666,600,12,Yes
CUST00080,51,31433,65819,562,84,Yes
CUST00081,65,41438,42122,704,84,Yes
CUST00082,27,57247,189739,595,84,No
CUST00083,24,17381,16073,587,24,No
CUST00084,63,32408,52194,630,120,No
CUST00085,60,70084,139719,495,60,Yes
CUST00086,31,54186,76249,559,24,No
CUST00087,38,57167,153986,553,36,Yes
CUST00088,39,56584,205151,722,12,Yes
CUST00089,35,47310,59082,681,48,No
CUST00090,55,48693,166292,656,48,No
CUST00091,58,58372,209106,645,60,Yes
CUST00092,21,69190,129036,626,120,No
CUST00093,55,66850,147658,487,36,Yes
CUST00094,22,34503,113636,726,84,Yes
CUST00095,50,99257,235183,541,48,Yes
CUST00096,63,80453,78438,669,48,Yes
CUST00097,37,45998,75619,688,120,No
CUST00098,38,55429,76656,499,12,Yes
CUST00099,55,96993,124614,713,12,No
CUST00100,62,59376,81077,655,120,Yes
CUST00101,30,56466,50840,740,24,No
CUST00102,37,56156,147430,602,84,No
CUST00103,31,63399,37397,642,36,No
CUST00104,45,32284,24729,727,84,No
CUST00105,36,79839,277522,732,60,No
CUST00106,57,58385,116730,578,36,Yes
CUST00107,62,35999,121610,781,12,No
CUST00108,44,32732,97397,537,48,Yes
CUST00109,54,68948,229507,636,60,No
CUST00110,50,28187,40572,701,120,No
CUST00111,26,51438,160829,736,60,No
CUST00112,45,44142,72285,730,48,No
CUST00113,37,35060,103572,789,36,No
CUST00114,54,62214,187903,639,48,No
CUST00115,36,45544,101011,543,120,Yes
CUST00116,39,59902,94149,771,60,No
CUST00117,56,36405,113248,634,36,Yes
CUST00118,50,53205,49071,710,24,No
CUST00119,55,81253,95098,613,84,No
CUST00120,58,76716,114345,636,12,No
CUST00121,39,56596,31101,700,60,Yes
CUST00122,23,77556,228089,634,24,No
CUST00123,52,57261,85616,658,48,No
CUST00124,32,68410,240532,637,12,No
CUST00125,46,31419,91196,655,24,Yes
CUST00126,57,62211,85146,639,60,No
CUST00127,59,34434,110703,587,48,Yes
CUST00128,49,47968,95979,752,60,No
CUST00129,60,62972,199595,641,84,Yes
CUST00130,63,66634,162052,679,24,Yes
CUST00131,49,47460,29152,566,36,No
CUST00132,65,59396,78224,626,36,No
CUST00133,61,27544,32843,573,12,No
CUST00134,62,63386,63248,701,12,No
CUST00135,40,27244,101461,566,48,Yes
CUST00136,65,48910,71059,727,60,No
CUST00137,26,24168,74217,553,60,Yes
CUST00138,26,58560,205652,769,60,No
CUST00139,64,65233,206846,556,24,Yes
CUST00140,62,41414,165213,673,48,No
CUST00141,52,74901,144500,633,36,No
CUST00142,31,41691,62902,758,48,No
CUST00143,56,62524,86495,658,12,No
CUST00144,46,77208,38915,538,120,No
CUST00145,47,75510,202308,682,48,No
CUST00146,24,61537,230570,747,48,No
CUST00147,52,89995,236781,799,24,No
CUST00148,40,33336,27543,618,120,No
CUST00149,50,79576,82671,612,84,Yes
CUST00150,38,37184,80049,696,48,No
CUST00151,45,63876,198784,751,24,No
CUST00152,38,60017,101403,495,120,No
CUST00153,21,51894,132552,716,84,No
CUST00154,30,35441,58958,680,120,No
CUST00155,50,88147,346657,584,24,No
CUST00156,35,66440,107209,585,48,No
CUST00157,45,34948,117866,728,24,No
CUST00158,23,87748,145836,798,12,No
CUST00159,49,87032,48191,753,24,No
CUST00160,62,61973,200504,644,36,Yes
CUST00161,65,49110,81030,670,84,No
CUST00162,45,79230,285706,618,48,No
CUST00163,23,45258,131040,611,36,No
CUST00164,26,47500,129111,665,120,Yes
CUST00165,31,41587,27488,488,120,Yes
CUST00166,43,47868,112925,682,60,No
CUST00167,32,58518,207618,678,60,No
CUST00168,52,63541,134327,627,36,No
CUST00169,63,87472,319643,659,84,No
CUST00170,25,39523,101041,676,84,No
CUST00171,65,54979,65824,805,48,No
CUST00172,27,56883,142881,754,84,No
CUST00173,63,53179,187601,656,120,No
CUST00174,24,80193,273854,580,36,No
CUST00175,35,41878,114250,604,60,Yes
CUST00176,63,50891,42752,611,84,No
CUST00177,40,56126,99737,630,24,Yes
CUST00178,39,46352,55751,723,120,No
CUST00179,44,15922,54241,616,36,No
CUST00180,51,69740,247325,636,120,Yes
CUST00181,25,84731,297448,811,84,No
CUST00182,46,86841,154595,620,120,No
CUST00183,37,35695,101906,630,84,Yes
CUST00184,45,73781,64869,479,24,Yes
CUST00185,60,72261,267611,582,24,No
CUST00186,61,72655,113172,493,48,Yes
CUST00187,23,69470,154514,627,12,Yes
CUST00188,55,68026,193650,716,84,No
CUST00189,55,29104,30292,714,48,No
CUST00190,52,23177,34281,524,84,Yes
CUST00191,49,42579,75339,670,84,No
CUST00192,62,43555,50712,713,12,No
CUST00193,50,65423,179143,680,12,Yes
CUST00194,42,55377,137115,691,12,No
CUST00195,56,58339,206750,704,36,No
CUST00196,59,90585,91165,653,24,No
CUST00197,32,82841,79636,752,36,No
CUST00198,36,52277,74693,642,24,No
CUST00199,54,59930,123993,669,36,No
CUST00200,27,42835,113636,667,84,No
CUST00201,63,35257,136589,638,12,No
CUST00202,46,47303,141597,667,48,Yes
CUST00203,26,50535,47587,691,60,No
CUST00204,56,50848,131741,574,36,Yes
CUST00205,59,26072,23477,710,84,No
CUST00206,56,52718,109677,595,24,No
CUST00207,50,31585,50344,727,36,No
CUST00208,44,81271,175540,615,12,No
CUST00209,26,27943,50417,705,24,No
CUST00210,58,77266,219825,622,48,Yes
CUST00211,63,72599,269012,620,12,No
CUST00212,59,51781,117851,685,24,No
CUST00213,35,64590,158047,589,12,No
CUST00214,57,57844,142492,734,120,No
CUST00215,60,44573,117293,559,84,No
CUST00216,38,69145,219081,662,36,Yes
CUST00217,32,70913,134929,575,24,No
CUST00218,22,73556,133628,704,48,No
CUST00219,44,48980,185875,716,60,Yes
CUST00220,24,71864,48448,761,12,No
CUST00221,63,33148,64627,700,24,No
CUST00222,28,50087,143938,682,60,No
CUST00223,63,50440,199014,703,12,Yes
CUST00224,40,83943,266482,604,36,Yes
CUST00225,21,35898,34180,651,60,No
CUST00226,53,30067,52304,607,48,No
CUST00227,23,36608,28280,685,36,No
CUST00228,57,33768,51101,715,48,Yes
CUST00229,41,75608,159559,821,84,No
CUST00230,26,47149,95470,665,48,No
CUST00231,46,75465,96256,554,120,Yes
CUST00232,53,40176,47354,577,120,Yes
CUST00233,62,60252,61008,596,24,Yes
CUST00234,30,56686,63489,533,120,No
CUST00235,50,55849,115673,515,60,No
CUST00236,60,33739,54201,841,48,No
CUST00237,49,33223,85382,545,36,Yes
CUST00238,40,50159,89814,655,36,Yes
CUST00239,26,38941,82535,587,60,No
CUST00240,23,23827,66273,695,36,No
CUST00241,53,58753,50660,673,120,No
CUST00242,26,43926,60051,649,48,No
CUST00243,54,44524,80365,643,36,No
CUST00244,42,52449,142037,626,36,Yes
CUST00245,27,38372,53030,622,120,No
CUST00246,59,66338,168471,599,24,No
CUST00247,40,82301,154055,625,60,No
CUST00248,26,48600,158962,722,120,Yes
CUST00249,65,69039,200141,535,60,Yes
CUST00250,63,39878,70548,685,24,No
CUST00251,42,74662,96531,620,24,Yes
CUST00252,39,59648,190758,619,120,No
CUST00253,54,70855,225466,667,24,No
CUST00254,30,72791,232847,779,120,No
CUST00255,49,71492,215802,671,48,No
CUST00256,49,56335,218557,709,120,No
CUST00257,33,25556,100832,793,48,No
CUST00258,45,36255,38691,648,24,No
CUST00259,29,59114,128991,631,36,No
CUST00260,27,49793,46625,556,12,No
CUST00261,38,34483,117541,680,12,No
CUST00262,35,70223,263803,498,48,Yes
CUST00263,53,42508,33395,706,24,Yes
CUST00264,27,68861,225164,552,24,Yes
CUST00265,51,51729,153603,609,48,No
CUST00266,26,67457,69030,657,84,No
CUST00267,48,66363,103130,692,12,No
CUST00268,61,60418,53651,565,48,No
CUST00269,22,39092,117859,573,36,Yes
CUST00270,60,40909,47274,733,84,Yes
CUST00271,44,75037,170758,690,60,No
CUST00272,45,58758,108942,633,36,Yes
CUST00273,22,50804,68278,673,84,No
CUST00274,58,53496,35049,578,60,Yes
CUST00275,62,69187,147104,774,84,No
CUST00276,32,57449,184794,623,48,Yes
CUST00277,33,66555,43039,665,36,No
CUST00278,55,50152,138628,654,36,Yes
CUST00279,24,65752,61522,596,36,No
CUST00280,46,53395,98955,480,24,Yes
